time	V(audio_out)
3.019135673048847e-003	5.518775e+000
3.020032846943300e-003	5.524050e+000
3.021276951969056e-003	5.528706e+000
3.022654212296330e-003	5.531838e+000
3.024204209103179e-003	5.533189e+000
3.026204010950229e-003	5.531925e+000
3.028459791975906e-003	5.525998e+000
3.032116562433672e-003	5.505835e+000
3.036999374933672e-003	5.458458e+000
3.041882187433672e-003	5.381622e+000
3.045382202509227e-003	5.292525e+000
3.048815301551502e-003	5.151519e+000
3.052477781023684e-003	4.926270e+000
3.055471708210555e-003	4.672373e+000
3.058828911542654e-003	4.318394e+000
3.062016317494967e-003	3.943937e+000
3.063526592195982e-003	3.764698e+000
3.064499610942214e-003	3.658358e+000
3.064959776057751e-003	3.615205e+000
3.065303046482798e-003	3.588596e+000
3.065745869365452e-003	3.561252e+000
3.066415007230137e-003	3.529971e+000
3.066959816700626e-003	3.511969e+000
3.067545567575436e-003	3.499330e+000
3.068339799341791e-003	3.488177e+000
3.069114106449146e-003	3.481230e+000
3.070163731905307e-003	3.475245e+000
3.071216389810075e-003	3.471357e+000
3.072826681310903e-003	3.467889e+000
3.074435999619857e-003	3.466629e+000
3.076290297344986e-003	3.468046e+000
3.078600127277180e-003	3.474454e+000
3.082342912820111e-003	3.495699e+000
3.087225725320111e-003	3.544300e+000
3.092108537820111e-003	3.622941e+000
3.095545524726848e-003	3.712638e+000
3.099007899384052e-003	3.858182e+000
3.102652863958696e-003	4.087048e+000
3.105699979756467e-003	4.349708e+000
3.109064475857734e-003	4.707375e+000
3.111814382173258e-003	5.032228e+000
3.113317475232709e-003	5.213410e+000
3.114205977074729e-003	5.313373e+000
3.114829655947915e-003	5.374934e+000
3.115149069077106e-003	5.401298e+000
3.115620729918554e-003	5.432193e+000
3.116291076221911e-003	5.465313e+000
3.116931512178119e-003	5.487363e+000
3.117500350961024e-003	5.500273e+000
3.118096042022762e-003	5.509109e+000
3.118933876431350e-003	5.517258e+000
3.119878543395335e-003	5.523273e+000
3.121004097187573e-003	5.527874e+000
3.122391746641223e-003	5.531239e+000
3.124361951160207e-003	5.533104e+000
3.126262741691773e-003	5.531885e+000
3.128555313558481e-003	5.525631e+000
3.132270650261745e-003	5.504733e+000
3.137153462761745e-003	5.456524e+000
3.142036275261745e-003	5.378099e+000
3.145592585479370e-003	5.285139e+000
3.149078372850914e-003	5.137762e+000
3.152733294282722e-003	4.906212e+000
3.155826898580637e-003	4.637381e+000
3.159207878951333e-003	4.276348e+000
3.161728627305984e-003	3.977737e+000
3.163228184994440e-003	3.796007e+000
3.164097043787954e-003	3.697640e+000
3.164839137162732e-003	3.623798e+000
3.165155810088476e-003	3.597653e+000
3.165659031297308e-003	3.564897e+000
3.166249540868065e-003	3.535349e+000
3.166775244693327e-003	3.516585e+000
3.167362162264616e-003	3.502392e+000
3.168033887568225e-003	3.491693e+000
3.168895430937243e-003	3.482899e+000
3.169790194541371e-003	3.477036e+000
3.170889797409063e-003	3.472402e+000
3.172238269849304e-003	3.468946e+000
3.174163425918210e-003	3.466899e+000
3.176188818901513e-003	3.467968e+000
3.178435081439661e-003	3.473813e+000
3.182076688626472e-003	3.493790e+000
3.186959501126472e-003	3.540950e+000
3.191842313626471e-003	3.617683e+000
3.195414642389113e-003	3.708771e+000
3.198868393043300e-003	3.851200e+000
3.202529683205189e-003	4.077517e+000
3.205521581835116e-003	4.332238e+000
3.208873545827377e-003	4.686313e+000
3.211953341547104e-003	5.048650e+000
3.213450999258685e-003	5.227491e+000
3.214383997035637e-003	5.330850e+000
3.214884407076740e-003	5.378980e+000
3.215214511066172e-003	5.405496e+000
3.215655480008572e-003	5.433828e+000
3.216331811466155e-003	5.466543e+000
3.216980567247810e-003	5.488291e+000
3.217614038394189e-003	5.502051e+000
3.218234835393620e-003	5.510723e+000
3.219095026037247e-003	5.518496e+000
3.220024653411249e-003	5.524004e+000
3.221221412630337e-003	5.528550e+000
3.222633567211853e-003	5.531778e+000
3.224257179391367e-003	5.533197e+000
3.226223737913766e-003	5.531919e+000
3.228491877721864e-003	5.525884e+000
3.232168329379974e-003	5.505476e+000
3.237051141879974e-003	5.457821e+000
3.241933954379974e-003	5.380535e+000
3.245430101361810e-003	5.290973e+000
3.248865675812646e-003	5.148987e+000
3.252526449737457e-003	4.922541e+000
3.255535674760071e-003	4.666139e+000
3.258905930085180e-003	4.309890e+000
3.261955500198541e-003	3.950985e+000
3.263462533188791e-003	3.771210e+000
3.264408371925244e-003	3.666780e+000
3.264904894510001e-003	3.619330e+000
3.265237450997120e-003	3.592896e+000
3.265689810380835e-003	3.564205e+000
3.266357591905787e-003	3.532383e+000
3.267003174282102e-003	3.511077e+000
3.267633278418743e-003	3.497575e+000
3.268269742193585e-003	3.488812e+000
3.269135179849881e-003	3.481133e+000
3.270091856050031e-003	3.475593e+000
